C2H2,C2H4,CH4,H2,C2H6,act
8.31,0.12,3.65,7.23,3.5,1
10.06,0.45,9.58,1.05,4.73,1
0.12,2.71,5.62,9.11,5.38,7
0.0,2.08,0.01,6.81,0.07,2
0.0,9.11,0.05,6.49,0.06,2
7.04,0.99,0.42,9.44,5.8,3
1.92,0.19,0.41,9.26,5.32,3
0.0,1.63,2.95,8.77,0.34,5
0.09,1.57,8.84,8.27,1.96,6
1.49,4.94,0.91,4.15,6.32,4
7.93,0.36,0.2,9.14,6.26,3
0.04,9.12,3.85,7.19,1.59,6
9.74,4.1,0.89,2.42,8.54,1
6.7,0.19,0.5,5.09,9.2,3
6.18,0.51,0.39,4.78,7.55,3
0.0,4.48,3.08,4.07,0.1,5
0.0,2.48,3.86,8.31,3.59,6
0.07,8.91,3.41,8.76,1.59,6
0.07,9.08,3.56,6.14,2.07,6
5.79,0.62,2.79,6.02,3.71,1
2.47,0.69,0.34,8.38,5.78,3
0.09,8.14,5.41,5.25,9.71,7
0.0,2.57,0.01,7.53,0.1,2
10.46,5.39,4.29,4.73,4.53,1
0.19,8.47,1.13,4.24,6.34,7
0.0,6.55,8.17,4.25,0.77,5
0.11,7.74,5.8,8.87,5.06,7
0.06,1.04,4.22,2.58,7.96,7
0.1,8.25,9.82,4.12,8.66,7
0.0,6.08,4.48,4.78,0.43,5
2.39,2.03,0.71,4.22,8.14,4
2.49,5.57,0.53,7.91,4.97,4
0.98,3.78,0.29,7.85,4.62,4
3.8,0.17,0.12,3.37,6.51,3
0.17,1.56,6.74,7.54,7.75,7
0.0,6.52,0.07,2.76,0.05,2
0.08,3.07,5.9,3.34,1.37,6
2.05,7.16,0.28,4.8,2.37,4
1.03,4.05,0.79,4.78,4.49,4
8.11,9.85,4.48,1.22,4.18,1
0.01,7.07,8.62,7.54,5.41,7
6.98,0.74,0.55,2.03,8.9,1
8.24,0.58,0.26,8.32,6.93,3
2.38,4.55,0.66,3.81,8.2,4
0.0,1.45,1.71,3.12,0.13,5
1.35,1.14,0.85,4.49,5.55,4
0.18,5.39,1.85,8.32,6.66,7
1.32,0.64,0.27,2.59,8.69,3
8.7,0.61,0.3,2.47,3.02,3
2.11,1.36,4.94,3.72,7.06,1
4.08,7.9,3.4,0.15,7.67,1
2.14,3.08,0.68,3.79,9.06,4
0.0,8.66,0.08,1.34,0.16,2
0.0,4.02,0.05,6.16,0.15,2
0.08,9.94,2.31,6.3,4.91,7
2.23,2.08,0.39,1.87,7.66,4
1.01,2.09,0.19,1.96,9.61,4
3.03,0.57,0.24,4.79,7.64,3
0.06,1.66,8.61,7.77,5.77,1
0.0,4.49,4.49,7.79,0.37,5
7.96,2.54,5.91,5.36,6.69,1
9.02,5.73,6.46,9.72,4.0,1
0.0,2.96,3.55,7.12,0.01,5
0.0,7.02,0.08,4.05,0.09,2
0.0,4.61,5.8,9.93,0.48,5
0.04,2.36,5.96,6.95,9.39,7
8.3,0.68,0.23,3.69,7.69,3
0.0,8.88,0.08,4.06,0.19,2
7.24,0.81,0.36,4.64,5.49,3
5.15,3.25,4.59,3.45,7.49,1
2.25,0.61,0.18,6.28,5.72,3
0.0,3.52,2.34,3.82,0.62,5
0.1,9.56,7.28,5.57,6.87,7
0.0,8.6,9.28,3.64,0.76,5
1.6,7.74,0.42,3.09,2.88,4
0.0,3.29,8.2,8.43,0.41,5
2.02,7.99,0.79,9.39,6.05,4
0.7,2.94,0.56,3.35,8.96,4
1.86,9.83,0.72,4.75,5.81,4
0.0,2.13,0.07,2.49,0.07,2
1.22,6.23,0.79,8.12,4.97,4
0.65,1.63,0.97,6.5,7.25,4
0.0,5.44,2.03,9.4,0.7,5
0.03,5.92,9.04,5.27,8.54,7
0.17,5.08,4.68,8.47,6.16,7
1.81,7.16,0.66,4.86,2.28,4
0.0,2.47,0.02,6.17,0.12,2
1.85,4.95,6.03,2.58,8.48,1
0.06,5.19,1.65,1.69,4.32,7
0.0,7.17,0.05,3.49,0.08,2
0.0,4.64,0.06,9.37,0.18,2
1.78,7.13,0.66,2.72,3.68,4
0.61,5.6,0.15,8.02,6.55,1
0.13,5.96,8.27,7.59,6.12,7
0.07,5.36,2.98,9.02,3.96,6
1.89,5.54,0.35,8.94,9.37,4
0.0,7.18,0.04,9.99,0.05,2
0.0,1.44,0.08,6.67,0.06,2
10.41,2.24,10.24,6.07,5.55,1
0.09,6.78,8.57,7.08,4.9,7
0.0,7.67,0.04,4.93,0.06,2
0.06,6.7,2.63,2.33,1.41,6
0.0,9.67,9.72,7.56,0.54,5
0.0,5.38,0.03,1.12,0.15,2
0.0,6.98,0.0,3.5,0.11,2
0.0,3.22,9.99,4.33,0.4,5
0.0,4.43,6.4,4.14,0.39,5
0.06,6.76,4.21,1.76,1.26,6
0.0,7.22,3.49,6.43,0.02,5
2.09,7.45,0.27,6.04,9.55,4
0.0,6.02,0.02,4.75,0.11,2
2.14,5.85,0.79,1.23,5.74,4
0.0,5.74,0.09,5.11,0.09,2
0.0,6.98,9.08,5.69,0.81,5
1.99,8.16,2.25,7.26,4.11,1
9.16,5.0,4.35,4.49,9.91,1
0.83,4.3,0.82,9.09,4.39,4
0.04,2.0,1.67,9.64,1.4,6
0.16,1.72,3.64,1.98,9.36,7
0.01,2.27,2.93,5.6,3.9,6
9.8,0.53,0.22,2.81,6.24,3
3.98,0.14,0.26,1.99,7.75,3
1.92,2.21,0.98,2.78,6.78,4
5.24,3.2,1.81,7.01,0.49,1
0.0,5.31,3.57,6.71,0.43,5
0.02,1.64,5.88,8.75,1.8,6
5.47,0.24,0.44,5.98,5.54,3
0.03,7.43,5.92,7.69,7.51,7
1.08,0.76,0.15,8.73,1.19,3
0.02,6.03,6.63,4.32,3.82,6
0.69,1.85,0.49,6.21,5.36,4
0.0,3.42,0.05,4.23,0.05,2
3.12,4.33,3.01,3.01,4.51,1
10.63,10.62,8.54,4.5,1.04,1
0.0,1.26,0.03,3.43,0.05,2
0.68,4.36,5.12,5.85,9.54,1
0.7,9.19,0.36,2.75,2.4,4
0.0,5.09,1.36,6.65,0.28,5
8.25,8.67,4.88,3.74,1.3,1
0.0,1.19,0.02,1.67,0.09,2
2.1,8.57,0.47,6.68,4.02,4
0.0,4.51,0.02,5.01,0.08,2
0.0,7.25,0.04,5.52,0.15,2
0.0,3.22,0.04,9.23,0.08,2
0.0,5.72,0.02,3.84,0.06,2
0.18,2.83,8.5,8.88,9.8,1
0.07,2.23,6.06,4.8,1.49,6
8.63,7.12,4.69,0.17,0.46,1
0.16,8.94,9.81,4.29,7.0,7
0.86,4.22,3.88,4.56,1.8,1
3.05,8.79,6.08,6.74,2.98,1
0.71,2.14,0.12,8.94,9.02,4
9.56,0.32,0.2,5.72,2.72,3
0.13,4.49,7.53,5.82,4.07,7
0.0,3.72,1.43,2.3,0.43,5
0.02,5.09,3.97,2.13,1.39,6
0.0,6.25,0.01,7.38,0.15,2
0.0,5.25,3.29,9.27,0.16,5
0.15,3.0,3.64,2.47,7.27,7
10.63,9.21,9.29,5.33,1.17,1
1.96,2.45,7.19,3.8,6.17,1
0.0,9.66,6.51,2.1,0.64,5
0.07,9.89,3.55,2.75,1.27,6
6.3,0.26,0.12,8.32,8.35,3
6.02,8.11,1.51,9.0,6.74,1
0.09,1.07,1.95,9.84,6.62,7
0.45,5.76,7.69,9.38,10.45,1
0.0,9.65,0.03,3.13,0.06,2
0.0,1.87,5.01,2.0,0.1,5
0.02,5.64,7.33,7.76,7.37,7
0.0,2.42,0.05,6.45,0.04,2
0.07,9.57,6.46,9.31,7.69,7
9.87,0.42,0.43,8.99,7.97,3
0.07,4.58,9.02,2.58,1.08,6
2.83,0.84,0.13,5.24,4.11,3
0.04,2.24,6.94,8.67,2.0,6
0.02,4.9,3.57,1.14,2.56,6
0.0,6.08,0.08,6.62,0.04,2
0.0,9.82,5.93,2.36,0.21,5
0.0,2.43,5.63,3.38,0.96,5
0.07,2.16,4.43,8.91,8.87,1
0.98,6.08,0.41,7.45,9.66,4
0.0,8.37,0.07,2.38,0.05,2
0.08,5.54,6.25,1.64,1.19,6
1.7,9.68,0.66,8.76,6.22,4
0.01,8.36,2.71,5.62,3.1,6
0.14,4.33,8.14,6.53,8.08,7
2.62,2.7,7.25,2.8,4.3,1
0.01,9.08,5.78,9.35,7.67,7
0.09,5.56,6.38,9.42,8.05,7
0.08,8.93,6.63,9.63,1.7,6
0.04,5.19,9.13,8.29,3.39,6
6.28,0.92,0.32,9.48,6.17,3
6.43,0.32,0.48,6.75,5.92,3
0.52,8.37,7.55,2.14,7.59,1
0.04,3.56,4.12,1.43,6.03,7
0.0,9.67,7.66,9.15,0.63,5
2.22,4.84,10.49,3.75,3.77,1
8.78,0.62,0.36,8.13,4.23,3
1.88,8.8,0.76,9.12,6.77,4
8.09,0.26,0.38,9.05,8.31,3
3.11,9.74,8.1,1.49,0.19,1
0.1,6.43,5.11,8.01,9.98,7
0.08,4.63,7.75,7.74,1.24,6
0.91,4.31,0.22,9.6,2.47,4
0.0,9.31,0.0,1.2,0.19,2
0.08,9.86,9.74,8.19,3.81,6
0.97,6.31,0.46,3.65,6.55,4
0.05,6.87,2.72,7.67,4.37,7
0.13,6.03,5.33,5.3,2.17,1
2.08,0.3,0.4,1.16,6.67,3
0.05,5.42,9.07,3.75,4.63,7
1.77,1.61,0.88,6.02,7.46,4
0.82,9.91,0.15,7.63,8.14,4
1.65,6.57,0.65,2.47,7.0,4
0.0,4.39,6.35,8.27,0.59,5
0.0,5.99,0.02,9.13,0.05,2
2.31,5.45,0.93,3.85,7.32,4
2.2,8.02,0.67,3.59,2.26,4
2.41,5.5,0.25,4.11,7.59,4
0.0,3.99,7.55,5.31,0.84,5
0.0,4.9,8.42,2.27,0.06,5
0.03,8.14,7.48,4.17,2.65,6
0.0,6.56,7.18,7.17,0.66,5
0.82,5.66,0.9,2.56,8.71,4
0.0,4.99,0.09,8.54,0.04,2
0.16,6.54,8.21,9.71,5.87,7
0.1,10.47,6.39,5.64,3.09,1
0.05,2.42,9.4,8.1,1.67,6
0.0,8.64,0.06,9.62,0.05,2
0.06,4.99,7.52,4.7,2.23,6
3.6,0.82,0.16,1.75,8.67,3
9.51,1.15,5.49,1.16,4.93,1
0.75,5.39,0.3,2.66,4.84,4
0.61,6.61,0.59,7.13,6.83,4
0.16,6.42,4.65,5.43,9.44,7
8.64,2.94,8.91,6.07,6.77,1
7.72,0.62,0.28,7.94,4.08,3
1.46,4.87,0.61,9.01,8.12,4
0.0,8.31,2.92,2.09,0.81,5
0.0,3.27,5.35,9.85,0.19,5
0.0,6.81,5.23,4.17,2.78,6
0.0,7.62,7.92,5.65,0.55,5
0.06,7.92,8.38,9.2,2.56,6
0.82,7.65,0.92,5.06,6.33,4
0.0,7.4,0.05,4.99,0.02,2
0.0,6.68,2.11,8.15,0.2,5
0.0,4.5,0.08,3.28,0.01,2
2.29,0.31,0.14,3.19,5.1,3
0.0,2.69,1.76,3.66,0.38,5
0.02,7.16,6.65,1.31,3.72,6
0.06,5.62,2.33,1.67,3.44,6
7.78,0.82,0.38,3.82,3.98,3
0.08,3.24,4.78,4.86,3.01,6
3.63,0.47,5.82,3.98,2.15,1
0.08,6.03,9.37,7.08,2.69,6
0.0,9.0,4.98,6.61,0.86,5
0.1,9.64,8.55,5.47,9.06,7
2.25,8.22,0.78,2.6,7.54,4
3.43,0.91,0.34,4.47,4.07,3
1.68,6.52,0.15,6.21,7.4,4
0.02,1.64,7.11,3.16,3.2,6
0.04,5.63,4.52,7.93,8.68,7
0.15,2.98,4.36,4.17,7.54,7
0.93,2.27,0.25,4.88,6.82,4
0.18,7.18,5.44,3.04,7.86,7
0.07,7.92,6.83,4.94,4.25,7
0.03,6.56,3.8,3.05,3.47,6
0.11,6.65,8.27,7.38,9.08,7
0.05,1.47,5.1,1.66,5.54,7
0.6,6.74,10.78,9.38,2.69,1
9.92,0.88,0.12,8.39,5.04,3
0.0,4.49,6.01,8.74,0.58,5
0.0,5.12,0.02,7.1,0.12,2
0.0,1.09,9.33,9.65,4.6,7
1.67,2.04,0.4,3.82,7.1,4
9.93,0.21,0.38,3.58,3.34,3
0.29,8.12,9.98,6.44,0.59,1
0.11,4.92,1.79,8.38,8.22,7
0.0,8.58,6.51,7.58,0.52,5
1.48,1.29,0.16,2.93,8.96,4
0.07,9.59,1.51,4.44,1.64,6
0.0,8.78,8.37,2.77,0.49,5
0.0,1.5,0.06,2.4,0.06,2
0.0,3.68,0.05,9.38,0.15,2
0.03,5.71,1.95,9.83,6.11,7
0.0,2.91,4.49,7.08,0.16,5
1.99,6.94,0.27,4.61,5.43,4
0.08,2.0,5.13,6.96,8.3,7
0.63,4.84,0.34,5.33,2.48,4
9.96,0.87,0.18,6.91,3.13,3
0.03,6.82,3.34,4.0,1.38,6
1.98,6.96,0.57,5.35,7.94,4
0.0,5.03,0.01,3.01,0.06,2
0.01,5.2,6.08,7.91,3.15,6
0.0,5.09,7.94,8.13,0.81,5
0.0,4.97,0.04,5.71,0.12,2
0.08,4.65,6.27,6.49,3.66,6
0.0,9.16,1.87,4.89,0.34,5
0.0,9.11,0.09,4.54,0.08,2
4.33,6.72,4.61,7.67,5.09,1
0.0,2.51,2.44,8.33,0.58,5
4.09,0.9,0.22,9.16,6.96,3
3.15,3.52,2.93,2.17,1.23,1
1.44,8.7,0.68,3.53,3.39,4
0.0,9.9,0.06,3.75,0.04,2
0.04,8.66,6.73,8.22,1.1,6
0.0,1.49,0.03,5.05,0.05,2
2.19,6.05,0.67,3.07,3.05,4
0.0,5.22,1.82,8.47,0.63,5
0.0,9.55,5.21,1.05,0.21,5
0.06,5.35,9.87,7.01,1.99,6
1.29,5.65,0.56,2.01,9.45,4
0.0,2.17,0.01,5.37,0.18,2
0.11,3.77,3.06,2.69,5.95,7
4.83,0.76,0.26,8.81,1.83,3
0.1,8.0,1.59,4.02,7.76,7
1.28,0.25,0.16,6.12,3.18,3
0.0,4.42,0.08,9.62,0.01,2
0.06,9.39,4.16,4.46,3.04,6
4.75,0.2,0.15,9.54,3.42,3
4.69,0.89,0.44,5.4,9.26,3
0.0,5.88,0.03,7.02,0.06,2
0.06,2.01,2.34,8.56,3.67,6
0.09,8.53,5.44,7.68,3.73,6
0.0,2.7,0.02,6.69,0.17,2
0.0,9.67,0.05,7.29,0.01,2
0.0,2.97,7.99,2.01,0.52,5
9.78,8.43,8.44,10.34,7.86,1
0.02,1.26,5.27,4.32,8.92,7
0.0,6.98,1.81,2.48,0.06,5
0.0,9.27,0.03,1.57,0.01,2
5.48,6.78,9.5,0.51,7.84,1
5.4,0.05,8.49,4.5,6.35,1
4.5,5.73,1.74,3.61,3.54,1
0.0,7.11,2.54,5.73,0.52,5
0.06,8.43,9.56,1.12,1.05,6
1.68,2.1,0.24,3.58,8.88,4
0.0,5.62,7.21,7.08,0.84,5
0.18,6.94,5.58,8.71,8.04,7
0.15,6.92,1.85,2.45,4.86,7
10.1,4.1,3.37,5.72,8.45,1
7.68,0.43,0.29,4.66,4.44,3
0.08,8.7,2.56,4.99,3.22,6
0.0,3.1,0.04,9.88,0.13,2
10.37,2.91,3.35,7.81,8.55,1
0.1,6.25,6.03,4.84,4.77,7
0.0,9.19,0.02,4.42,0.16,2
0.0,6.9,0.06,6.97,0.1,2
8.25,0.63,0.26,5.5,5.03,3
7.04,0.58,0.32,1.43,7.95,3
8.27,0.57,0.49,4.31,5.93,3
4.59,0.5,0.25,1.48,7.07,3
0.09,5.47,7.87,8.25,3.97,6
3.94,7.86,6.99,6.19,1.32,1
2.21,1.01,0.68,1.17,8.66,4
0.0,7.38,0.03,1.63,0.16,2
3.22,5.98,7.19,8.65,0.74,1
2.46,6.2,6.96,1.58,9.48,1
4.27,0.77,0.41,2.93,2.56,3
1.62,0.33,0.21,6.29,4.23,3
0.0,2.3,9.23,5.05,0.16,5
0.0,7.88,5.6,9.63,0.54,5
8.32,2.67,2.84,5.83,10.67,1
10.47,9.22,8.93,1.48,2.19,1
0.76,1.63,10.41,2.91,8.98,1
0.0,4.59,2.37,2.99,0.82,5
0.03,8.64,4.73,7.68,2.41,6
5.43,0.26,0.17,4.89,2.09,3
0.0,9.35,9.04,6.14,0.96,5
0.16,4.58,6.58,4.82,5.88,7
0.82,2.8,0.64,1.62,8.43,4
8.27,0.53,0.5,4.99,9.31,3
0.13,9.7,6.13,4.78,6.69,7
0.0,2.76,3.21,6.9,0.63,5
0.09,8.03,5.69,6.14,7.69,7
2.5,2.31,0.81,6.47,9.46,4
8.17,0.77,0.43,8.21,2.39,3
0.01,5.14,5.96,9.31,1.72,6
0.13,5.72,9.78,1.62,9.64,7
0.16,4.45,5.81,6.57,4.89,7
0.0,3.98,0.04,6.62,0.12,2
0.91,8.95,0.93,6.76,2.09,4
0.9,5.89,0.2,1.11,5.09,4
1.29,4.01,0.34,3.52,3.38,4
6.31,2.13,7.33,3.67,4.84,1
0.0,7.83,5.55,3.53,0.18,5
0.01,6.1,1.42,3.79,6.53,7
0.08,6.5,5.92,4.01,2.12,6
0.0,4.25,0.01,9.13,0.0,2
1.35,5.57,0.52,5.07,3.53,4
0.08,6.39,9.81,3.7,2.68,6
0.16,6.28,5.44,3.35,9.86,7
2.01,3.28,0.24,3.02,8.91,4
1.41,5.34,0.12,8.59,4.11,4
7.11,0.36,0.27,6.85,6.84,3
4.57,5.14,6.15,6.2,1.89,1
8.94,3.08,0.56,5.0,4.34,1
2.19,0.91,0.11,1.39,7.8,3
9.08,0.36,7.65,3.23,3.14,1
0.03,1.26,7.75,4.19,2.54,6
8.09,8.47,0.02,3.24,7.49,1
3.34,0.26,0.5,7.85,9.15,3
0.0,1.54,5.83,5.69,0.77,5
7.34,3.31,3.73,10.7,5.41,1
9.91,0.19,0.22,1.57,7.73,3
0.08,3.7,8.54,3.75,7.85,7
0.03,9.89,1.71,4.79,5.09,7
7.03,0.2,0.34,6.97,4.91,3
2.29,0.49,0.47,4.56,6.53,3
4.69,0.78,0.31,1.11,4.48,3
0.72,8.29,10.06,2.44,6.99,1
6.04,0.9,0.14,1.05,2.86,3
0.0,1.75,9.73,8.58,0.72,5
1.69,2.26,0.95,5.67,3.52,4
0.09,4.04,9.74,8.66,1.86,6
0.08,3.68,3.67,4.98,2.59,6
0.04,1.85,1.18,4.85,5.79,7
0.0,5.26,3.96,8.4,0.02,5
5.21,0.34,0.11,6.57,1.26,3
0.0,9.77,3.24,9.23,0.49,5
0.09,5.82,5.86,5.36,1.65,6
0.0,6.63,0.09,7.58,0.06,2
4.31,9.08,5.88,10.24,7.32,1
0.05,1.4,6.57,4.29,2.13,6
0.06,7.72,7.32,2.26,9.84,7
5.18,9.49,6.76,5.24,1.56,1
0.02,4.58,4.43,4.49,1.79,6
2.27,8.16,0.7,8.63,7.96,4
0.53,3.89,3.38,4.73,1.75,1
0.0,9.64,5.02,7.59,0.63,5
3.55,0.27,0.47,7.68,5.65,3
2.38,6.03,0.52,6.29,8.77,4
0.06,7.82,9.26,8.24,2.39,6
0.08,3.76,6.59,4.81,2.12,6
1.85,5.75,1.2,4.29,10.79,1
2.41,1.61,8.04,7.25,7.33,1
0.0,4.39,0.08,7.31,0.11,2
0.0,5.69,0.02,7.13,0.04,2
1.77,9.19,0.53,2.25,6.41,4
0.71,4.09,0.21,1.54,2.47,4
1.86,9.74,0.7,9.22,8.74,4
1.68,4.42,0.71,7.0,5.6,4
1.36,4.05,0.13,8.74,6.74,4
0.0,8.23,0.08,2.43,0.0,2
4.49,8.46,3.11,7.13,4.6,1
0.0,5.36,0.08,8.83,0.06,2
3.87,5.73,0.84,2.82,1.9,1
0.0,1.74,2.74,2.97,0.22,5
0.06,7.43,9.89,7.42,3.39,6
