C2H2,C2H4,CH4,H2,C2H6
5.55,8.94,5.47,6.61,5.07
2.22,0.51,9.31,1.64,7.04
2.86,2.45,3.64,7.1,4.21
0.0,2.44,7.61,6.77,0.63
1.54,5.72,0.14,7.94,4.21
2.45,0.98,0.37,6.82,4.22
7.0,1.49,6.4,6.3,8.34
0.0,3.78,1.34,4.93,0.7
0.15,6.53,2.07,3.8,4.78
0.05,1.47,5.1,1.66,5.54
0.0,8.23,5.18,4.23,1.77
1.05,9.52,0.42,8.57,9.89
3.0,0.64,0.27,7.86,8.81
0.05,7.36,6.3,3.82,1.66
1.74,5.42,0.18,5.92,3.46
6.04,0.72,0.39,9.51,1.84
3.58,0.67,0.48,9.08,6.9
1.15,1.09,4.2,1.77,7.27
1.37,0.14,0.38,2.53,5.28
0.0,8.84,0.04,5.79,0.13
0.08,1.36,1.82,2.61,3.08
0.0,7.83,0.05,7.72,0.04
0.0,1.61,0.07,1.43,0.17
0.15,6.17,1.32,6.1,5.34
10.11,3.75,5.63,2.47,0.37
6.06,0.55,0.11,3.11,1.19
0.0,1.51,0.03,3.74,0.17
2.48,1.13,0.72,7.63,3.01
0.03,8.87,6.84,5.83,1.39
1.15,7.34,0.73,10.42,2.89
0.17,9.1,2.49,4.6,7.62
0.0,7.75,0.04,3.27,0.13
0.0,1.22,1.75,3.82,0.76
0.1,1.01,3.92,7.48,6.6
0.0,8.29,0.0,5.21,0.16
10.37,4.83,8.02,8.85,8.02
0.0,1.88,6.7,7.66,3.18
9.79,7.21,10.0,10.12,5.12
0.0,5.85,0.02,6.32,0.07
0.0,3.22,0.02,2.96,0.07
2.44,5.35,7.45,5.52,9.2
0.09,1.07,1.95,9.84,6.62
0.11,6.65,8.27,7.38,9.08
0.0,9.23,1.2,8.75,0.44
0.03,1.41,7.4,4.45,3.94
1.05,7.24,0.98,9.15,2.06
0.0,4.81,2.85,9.8,0.76
0.0,5.33,0.06,2.58,0.08
1.46,4.87,0.61,9.01,8.12
4.59,4.07,4.5,6.19,1.94
0.08,5.02,2.95,5.01,3.54
0.07,9.41,7.07,6.84,2.65
0.0,1.23,9.19,4.32,0.83
4.01,0.17,0.14,8.62,5.15
0.74,1.06,0.7,9.75,6.43
2.31,5.53,0.22,1.74,8.36
9.31,0.28,0.38,7.09,1.04
6.64,6.21,8.74,8.02,3.22
0.01,1.5,9.0,9.98,8.93
0.0,8.12,3.1,1.96,0.84
0.0,5.59,0.07,1.75,0.03
0.14,9.38,3.89,9.64,4.28
2.34,7.97,3.07,10.22,8.48
1.96,4.33,3.97,1.54,8.06
1.9,6.0,4.65,4.86,2.68
0.0,5.45,0.09,7.84,0.09
0.0,8.99,0.08,2.12,0.06
0.0,3.54,0.07,4.88,0.08
0.0,5.59,0.01,2.24,0.12
6.74,0.38,0.16,8.68,2.35
0.0,8.08,5.85,5.97,0.92
0.0,3.61,8.04,3.55,0.77
1.34,0.4,0.12,8.32,9.42
0.09,5.83,8.9,9.49,7.64
0.06,8.24,3.51,3.54,1.07
0.05,2.49,9.6,2.75,3.75
0.0,2.95,0.0,7.68,0.04
0.06,1.26,4.89,2.14,3.26
8.97,0.76,0.44,3.05,6.97
3.45,0.7,0.24,4.02,6.81
0.0,5.47,0.03,2.35,0.15
0.0,9.05,2.05,8.63,0.37
0.0,3.72,4.87,3.55,0.98
0.01,7.73,4.3,6.26,2.83
0.0,3.1,0.09,7.48,0.06
0.0,9.0,6.81,5.49,0.28
0.11,4.92,1.79,8.38,8.22
0.05,5.51,1.05,2.35,2.88
0.0,8.22,9.4,8.44,0.63
0.05,6.48,7.73,7.18,1.54
4.25,9.76,8.67,6.24,1.47
0.94,8.83,0.95,3.99,3.47
7.14,0.71,0.43,9.61,7.3
0.17,8.52,4.58,3.1,8.34
0.0,2.42,0.05,6.45,0.04
7.35,0.68,0.35,4.76,6.46
9.74,2.24,7.76,0.0,6.04
0.0,6.6,0.05,6.11,0.09
0.0,3.66,1.45,9.96,0.04
0.0,2.78,3.27,2.09,0.18
0.0,9.67,7.66,9.15,0.63
0.04,3.71,1.66,3.99,6.03
0.0,4.22,2.3,5.61,0.84
2.25,2.27,0.42,7.14,6.06
8.54,0.9,0.36,9.83,5.24
0.0,4.32,8.37,9.38,3.3
1.93,5.1,0.28,5.8,4.91
0.05,4.73,3.75,4.33,3.87
0.61,6.61,0.59,7.13,6.83
0.93,1.21,0.77,3.13,3.2
0.0,3.63,0.05,3.23,0.15
0.02,9.7,4.64,4.36,6.63
0.0,8.62,0.04,4.46,0.12
1.56,9.2,0.21,4.28,2.67
0.03,9.66,9.63,9.24,5.52
2.72,0.11,0.24,6.71,3.52
0.82,2.8,0.64,1.62,8.43
6.81,0.71,0.13,5.45,4.31
9.09,3.71,1.74,5.27,4.86
0.81,5.65,0.95,2.65,3.01
0.0,4.6,3.87,1.59,0.72
0.03,7.48,8.32,4.37,4.74
0.03,9.71,6.64,4.01,2.68
0.0,4.15,0.06,9.05,0.14
1.13,2.15,0.93,6.99,3.01
0.0,4.32,8.43,3.14,0.47
1.87,5.74,0.57,3.27,2.99
0.0,7.59,8.61,1.88,0.74
4.0,0.6,0.47,6.48,8.37
8.27,0.88,0.2,8.05,7.74
0.0,2.01,0.08,8.96,0.04
0.02,1.82,7.04,8.57,1.22
0.0,8.4,7.08,2.58,0.83
0.0,7.9,8.89,7.51,0.18
9.94,0.55,0.33,2.76,6.62
0.09,9.85,1.99,4.7,1.99
9.82,0.86,0.32,6.28,3.61
3.67,0.95,0.26,3.02,8.79
1.54,0.84,0.31,3.16,2.74
0.08,4.56,9.75,2.14,3.37
8.96,0.62,0.46,5.06,6.91
6.28,6.65,5.08,5.65,3.38
0.02,3.14,2.04,6.51,1.55
0.01,4.78,3.62,2.25,3.4
0.06,4.99,7.52,4.7,2.23
0.17,5.08,4.68,8.47,6.16
0.0,8.84,9.46,7.03,0.09
0.0,4.67,4.3,2.48,0.85
0.03,9.99,2.14,2.99,2.04
7.9,9.69,5.62,4.68,3.14
7.4,2.07,4.37,6.86,7.03
0.0,8.4,0.08,6.72,0.07
0.0,2.38,2.86,5.61,0.73
2.17,6.07,0.49,4.96,2.31
8.87,5.36,9.95,6.51,4.33
0.77,2.55,0.51,3.97,3.62
9.91,0.19,0.22,1.57,7.73
3.09,10.38,0.79,7.5,2.41
0.05,1.37,3.92,8.83,1.88
0.1,6.49,6.39,1.38,6.15
0.19,8.56,8.34,4.86,6.71
1.86,7.32,0.15,8.14,6.13
0.0,1.47,6.37,6.99,0.5
0.03,2.93,4.24,7.75,2.79
0.95,3.79,0.32,8.15,8.21
0.0,5.26,3.91,7.84,0.35
0.04,1.41,1.85,2.5,3.98
0.15,7.35,8.56,3.52,8.74
0.0,1.9,5.62,7.16,0.04
4.99,0.98,0.31,9.96,4.06
4.27,0.5,3.26,6.95,5.47
0.09,8.2,5.88,4.5,3.64
2.45,0.39,0.12,8.54,9.58
0.0,6.16,9.63,6.53,0.18
0.0,3.19,8.78,7.08,0.61
1.0,1.15,0.44,8.79,7.82
0.0,2.37,7.55,1.51,0.6
0.01,1.31,9.66,6.15,3.31
0.01,2.89,5.33,9.0,5.17
0.06,2.68,7.56,3.7,2.67
0.08,5.41,9.34,5.77,2.53
0.16,1.15,1.5,8.63,5.09
0.0,7.39,7.47,3.54,0.34
1.3,0.69,0.37,2.24,5.25
0.04,8.4,2.33,1.52,2.0
0.0,1.23,6.75,2.66,0.7
2.25,7.0,0.85,1.3,5.93
6.36,0.54,0.46,3.52,2.04
0.0,9.97,2.16,6.17,0.3
8.69,7.22,2.26,9.43,1.93
9.39,7.19,9.9,4.39,2.64
0.0,1.41,2.1,2.65,0.39
0.07,4.69,6.8,2.4,8.98
0.07,8.24,8.05,5.1,3.95
0.07,8.89,8.14,3.74,2.88
0.0,4.02,1.15,1.46,0.02
2.29,9.98,0.65,4.84,5.55
0.0,2.4,0.03,3.25,0.09
0.0,6.91,0.07,3.68,0.19
0.98,8.89,0.88,5.43,4.52
2.4,0.38,0.14,9.16,9.27
0.0,5.71,9.34,6.44,0.29
4.78,0.94,0.1,8.41,3.94
1.35,6.22,7.95,8.52,5.17
0.0,6.51,4.86,4.55,0.59
1.86,0.28,0.15,3.06,3.51
1.95,2.04,0.55,1.58,7.58
2.1,2.96,0.93,3.44,4.85
9.2,9.25,7.47,1.56,0.7
0.06,3.5,2.68,9.97,3.73
0.0,1.65,1.38,7.13,0.21
4.28,9.06,3.49,6.08,6.28
2.0,9.47,0.56,1.26,9.75
2.98,0.49,0.18,7.99,6.92
0.0,8.62,0.03,8.18,0.13
1.5,8.59,0.9,9.19,9.92
0.03,1.26,7.75,4.19,2.54
1.12,0.35,0.1,1.16,5.0
6.02,0.31,0.36,5.88,6.9
3.0,6.91,8.74,3.68,5.7
2.45,2.74,3.07,6.0,5.77
1.98,3.09,0.3,9.78,5.47
10.47,9.22,8.93,1.48,2.19
1.48,7.88,0.46,8.87,4.01
0.0,7.66,9.6,7.45,0.72
0.09,6.77,1.6,9.06,9.23
4.72,8.18,2.26,5.52,10.02
0.15,8.66,5.75,2.65,4.39
0.08,7.37,7.05,8.02,3.63
8.81,8.81,10.09,5.48,3.29
7.35,0.96,0.28,7.71,1.58
8.92,0.6,0.31,6.18,6.56
0.09,9.38,7.4,3.81,2.79
4.77,6.01,1.49,7.65,8.05
1.96,2.45,7.19,3.8,6.17
0.0,4.93,2.49,4.97,0.95
0.0,4.8,0.06,4.57,0.14
0.0,2.73,8.18,3.37,0.83
8.49,0.82,0.31,8.01,3.42
0.05,3.39,9.02,4.83,8.65
1.94,6.31,0.67,6.29,7.59
4.89,5.46,8.74,10.63,0.96
0.07,8.69,6.09,2.07,3.14
2.32,9.24,3.87,2.22,6.43
0.07,9.49,2.41,6.89,4.27
0.01,4.35,6.9,9.56,7.49
0.01,2.27,2.95,6.88,4.18
7.21,6.81,1.03,6.87,6.63
1.63,8.94,7.82,5.13,5.8
0.0,5.06,1.94,8.61,0.51
0.17,6.34,7.83,2.2,8.23
0.71,4.09,0.21,1.54,2.47
5.2,2.4,3.1,3.8,4.06
8.68,0.46,0.31,1.59,3.06
0.0,1.37,0.03,3.65,0.1
1.29,1.41,0.32,9.08,5.99
0.16,1.13,2.67,7.59,8.47
1.53,2.26,0.64,1.51,9.48
1.7,9.43,3.49,6.82,9.7
0.08,2.52,6.94,7.68,3.92
0.14,3.4,4.1,2.42,8.29
0.0,1.86,3.0,3.78,0.07
0.0,7.95,8.27,3.61,0.57
0.06,4.97,4.26,2.62,3.41
0.03,8.45,2.15,9.93,1.96
2.09,7.45,0.27,6.04,9.55
0.0,3.56,0.06,7.64,0.01
0.0,2.6,0.03,3.86,0.02
0.02,1.64,7.11,3.16,3.2
3.33,1.96,9.08,0.55,8.51
8.52,4.56,1.88,4.43,5.83
0.02,9.12,6.31,7.96,5.51
0.0,7.91,8.53,8.94,0.13
5.68,0.58,0.47,7.17,4.7
2.8,0.95,0.45,2.98,6.89
10.23,0.45,7.11,9.18,6.47
0.0,9.92,0.06,1.07,0.03
0.0,8.22,9.52,9.02,0.21
0.0,8.61,4.24,8.02,0.32
3.41,0.5,0.18,2.09,1.5
5.1,0.51,0.48,5.0,9.7
7.54,10.31,5.87,7.43,5.17
0.08,5.54,6.25,1.64,1.19
0.01,1.28,7.67,7.59,7.61
0.06,1.7,7.28,4.22,3.3
0.05,5.88,2.39,3.75,1.44
0.93,3.77,3.8,2.51,9.3
5.94,0.15,9.91,3.93,1.09
0.03,7.49,9.5,6.88,4.16
0.14,4.93,8.56,2.58,6.76
1.54,0.33,0.13,8.09,7.59
0.0,2.03,5.96,7.11,0.26
0.0,6.9,6.0,7.61,0.88
0.05,3.59,6.88,8.78,3.3
2.08,9.33,10.44,0.54,4.97
7.7,0.05,8.66,2.99,0.66
0.16,6.99,6.1,2.22,9.85
0.0,1.65,0.06,3.48,0.13
7.65,10.36,1.93,2.62,1.31
1.03,0.77,0.21,9.05,4.14
1.68,6.52,0.47,7.12,7.28
0.64,7.27,4.27,0.6,4.17
2.07,6.11,0.64,1.49,2.49
0.04,7.92,6.35,1.28,3.58
0.0,1.43,4.35,3.61,0.73
8.88,0.91,4.66,6.45,1.91
0.0,5.04,0.07,4.43,0.08
0.08,9.32,1.33,9.1,1.09
0.0,8.62,6.12,2.51,0.6
0.08,7.17,9.46,4.6,3.08
0.08,6.62,3.82,7.48,9.42
0.11,5.0,5.76,8.57,4.7
9.0,2.73,0.16,2.64,3.88
0.0,7.35,4.96,6.04,0.62
2.11,4.45,0.78,2.42,6.42
0.0,2.7,0.02,6.69,0.17
0.0,3.4,3.49,2.74,0.19
1.49,1.33,0.89,9.84,8.82
0.0,8.14,0.04,8.18,0.17
4.9,10.71,0.51,1.12,0.7
0.0,9.44,0.0,6.93,0.11
4.36,9.24,1.88,0.68,6.14
0.08,7.32,4.93,1.51,2.51
0.08,4.42,4.42,8.38,3.69
3.46,0.34,0.17,9.47,8.12
5.62,10.01,8.18,8.1,7.43
0.0,2.19,0.07,5.81,0.17
2.28,5.27,6.99,5.15,8.85
0.0,7.48,0.04,2.93,0.05
0.7,4.46,0.64,6.12,8.49
4.42,10.17,8.95,2.59,10.13
0.93,2.57,0.93,6.63,9.5
2.08,8.5,0.48,3.07,2.08
1.43,0.84,0.14,1.32,4.89
0.08,2.26,3.95,2.09,2.58
3.11,7.17,3.12,1.54,6.6
0.0,8.62,0.08,3.28,0.18
1.99,6.94,0.27,4.61,5.43
0.01,4.93,3.79,3.05,3.52
0.0,5.87,1.92,5.29,0.66
0.0,9.42,0.03,2.85,0.14
0.03,5.21,2.84,4.46,2.86
0.0,5.94,0.07,9.71,0.05
0.0,8.91,0.07,6.58,0.06
7.1,0.77,0.41,7.24,6.01
0.0,2.87,0.03,7.89,0.15
0.0,2.36,4.46,1.33,0.29
0.01,5.34,4.49,7.31,2.85
0.0,9.33,8.88,3.19,0.83
0.75,3.18,0.64,8.08,5.09
0.05,1.01,5.9,6.9,3.74
0.0,8.88,0.08,4.06,0.19
1.1,8.73,0.77,3.27,4.71
3.59,10.17,3.84,7.85,4.0
5.99,0.25,0.32,9.09,3.01
0.06,1.18,1.37,7.47,3.58
0.14,6.25,9.05,3.8,4.87
0.0,9.87,5.27,7.83,0.01
0.48,3.13,3.54,4.55,1.87
0.04,2.92,8.09,9.8,8.68
0.0,2.75,0.05,7.0,0.16
0.0,9.82,0.01,7.76,0.11
0.05,5.17,6.25,3.53,1.02
8.64,10.07,0.01,4.29,8.04
1.57,9.36,0.84,5.02,9.94
0.04,5.98,8.12,3.34,3.49
0.0,4.43,4.01,8.41,0.3
1.18,9.95,0.71,8.21,7.12
0.0,8.44,0.06,4.88,0.19
0.0,5.62,3.33,9.39,0.66
8.15,1.93,7.13,10.18,10.65
0.93,4.28,0.23,9.43,9.75
0.0,4.97,7.37,9.13,0.88
0.0,7.22,3.49,6.43,0.02
0.0,3.0,5.31,1.47,0.5
2.36,3.48,0.85,2.23,5.7
0.0,8.34,0.07,7.65,0.12
2.32,0.43,0.14,7.48,8.96
0.14,9.92,4.67,9.76,9.05
0.0,9.34,7.4,2.09,0.96
3.15,0.92,0.28,8.13,9.44
0.03,6.19,7.22,6.27,3.38
5.35,3.12,8.76,2.42,9.07
0.0,6.75,1.89,6.32,0.15
0.07,3.35,7.72,2.87,1.2
0.02,8.63,2.6,5.04,2.24
1.25,1.6,0.28,4.15,8.54
1.11,7.76,0.69,6.52,3.21
0.03,4.01,5.01,1.17,1.15
0.0,1.08,6.32,2.35,0.66
0.03,1.93,4.0,3.17,1.98
7.18,0.3,0.3,6.3,9.49
0.0,3.88,1.57,8.14,0.35
0.09,6.2,5.96,5.85,3.29
3.91,0.9,0.36,8.71,2.49
0.06,1.51,8.11,9.65,2.22
0.06,5.02,2.04,2.78,3.52
0.16,9.24,5.9,9.12,9.97
3.19,3.16,9.12,10.43,1.45
0.0,5.29,0.05,5.97,0.17
0.53,3.89,3.38,4.73,1.75
0.0,7.62,6.29,4.57,0.44
0.0,9.78,0.09,7.88,0.05
9.8,0.18,7.9,5.31,0.83
0.0,5.39,0.01,9.2,0.04
0.14,8.99,7.39,1.97,5.69
0.0,8.71,0.08,5.11,0.11
0.0,5.22,2.29,7.24,0.05
0.06,5.79,5.6,2.7,1.92
9.85,0.17,0.34,3.73,5.33
4.69,0.89,0.44,5.4,9.26
3.6,0.82,0.16,1.75,8.67
0.05,8.31,3.68,3.66,3.47
0.06,5.19,1.65,1.69,4.32
2.4,0.15,0.15,7.97,6.05
0.95,7.84,0.84,7.88,9.46
2.35,1.76,0.66,2.08,4.23
0.06,5.93,6.47,8.71,2.51
6.41,0.71,0.45,6.98,2.19
0.0,4.18,0.01,1.44,0.09
3.88,0.54,0.26,4.59,1.91
0.15,6.35,3.54,9.75,9.44
0.0,3.06,0.01,1.35,0.14
0.02,3.78,5.01,6.98,3.84
2.4,4.29,0.98,1.83,6.86
0.0,2.26,4.08,7.05,0.29
0.0,9.04,0.06,9.03,0.16
5.22,0.54,0.12,9.35,3.05
0.73,8.59,3.78,3.6,2.87
0.0,9.84,0.07,4.34,0.08
0.0,9.25,9.72,1.69,0.81
1.79,3.1,0.37,9.8,3.11
0.0,4.48,0.01,3.6,0.11
0.06,9.81,6.09,3.62,2.72
7.36,5.22,2.65,0.01,5.43
7.5,10.43,5.43,0.41,6.96
0.16,1.57,4.04,8.01,7.53
1.01,0.71,0.39,8.9,6.55
0.08,2.3,8.58,5.44,8.07
0.02,1.21,5.02,4.92,2.32
2.23,5.19,4.0,7.98,4.94
0.0,3.22,0.01,6.4,0.12
7.59,9.09,6.57,1.15,3.97
0.0,6.85,6.45,3.1,0.81
0.0,8.89,2.75,9.56,0.76
10.19,6.23,9.55,8.84,0.93
0.01,7.74,3.93,7.45,4.24
0.92,5.15,0.71,1.36,8.32
0.0,4.87,0.04,7.28,0.09
9.51,1.15,5.49,1.16,4.93
9.23,0.52,7.8,3.99,1.01
2.19,0.85,0.1,6.33,6.32
0.0,1.19,4.64,4.39,0.31
0.0,9.86,7.33,5.03,0.92
0.16,4.45,5.81,6.57,4.89
0.01,5.2,6.08,7.91,3.15
0.12,7.49,4.98,5.67,6.9
1.87,0.56,0.19,2.34,6.62
1.15,5.07,5.2,10.38,5.34
0.76,9.44,0.38,2.37,6.23
0.12,3.0,6.93,9.66,9.57
0.0,7.32,2.03,7.69,0.98
0.02,4.09,9.91,4.36,1.75
0.0,8.07,0.02,3.81,0.12
1.24,7.3,0.66,6.32,3.44
0.0,6.54,0.01,9.72,0.0
8.0,9.94,8.92,10.67,6.47
1.44,2.16,0.98,9.25,7.95
0.09,5.82,5.86,5.36,1.65
0.05,6.21,3.14,2.2,2.7
0.0,8.86,4.87,1.87,0.08
1.94,5.98,0.24,6.67,7.15
2.26,6.47,0.74,1.77,7.87
0.06,2.13,5.96,7.06,9.44
2.95,6.55,2.83,1.57,8.57
1.5,2.38,2.65,0.14,8.78
0.0,2.17,0.01,5.37,0.18
1.78,7.25,0.1,7.09,9.24
1.92,10.0,0.11,5.06,2.18
0.0,3.38,4.59,4.97,0.14
0.0,5.84,3.81,1.17,0.98
1.04,5.48,0.99,6.38,8.87
0.0,5.09,0.06,4.79,0.02
9.19,0.21,0.19,8.47,4.9
1.55,6.6,6.28,10.14,1.77
0.03,4.92,3.3,1.42,2.32
0.02,7.64,6.78,1.92,2.02
0.0,2.81,3.56,8.92,0.08
0.0,4.48,0.04,8.38,0.03
5.34,0.76,0.18,9.13,4.81
0.0,6.88,9.42,1.57,0.43
0.0,7.38,0.03,3.99,0.0
5.63,0.34,0.19,4.12,6.33
8.5,1.14,5.93,10.72,6.49
2.45,0.9,0.14,7.55,6.42
0.0,9.98,0.05,8.35,0.12
6.2,0.17,0.29,7.19,8.82
0.0,6.77,0.02,7.42,0.15
0.0,1.8,0.04,5.93,0.01
0.0,7.86,9.84,4.37,0.78
6.21,0.16,0.11,3.16,8.79
0.0,3.72,8.99,6.51,0.84
7.01,0.7,0.15,4.46,1.34
3.64,0.94,0.18,1.02,7.75
0.01,4.41,2.48,1.13,3.18
1.61,6.56,0.51,3.81,2.09
1.39,10.42,0.29,6.23,2.85
9.21,8.06,5.12,8.24,1.32
0.18,7.9,1.56,8.51,8.04
9.56,0.32,0.2,5.72,2.72
3.8,1.86,0.89,3.45,1.52
2.81,0.4,0.29,6.77,9.6
2.72,5.82,2.29,7.78,10.41
1.76,5.54,0.39,7.28,4.22
0.0,2.88,3.53,7.08,0.38
0.0,4.09,0.02,3.62,0.12
0.0,4.68,0.09,7.68,0.16
1.65,0.88,0.29,8.85,9.85
5.24,3.2,1.81,7.01,0.49
2.39,8.55,0.89,1.29,4.59
8.06,6.13,0.14,10.71,5.66
0.06,2.06,3.14,9.03,3.6
0.0,1.42,0.06,6.28,0.06
10.41,0.47,6.09,7.79,4.43
5.73,0.73,0.32,2.88,5.34
10.36,8.54,5.55,0.8,1.26
2.64,0.98,0.23,9.57,4.86
4.76,0.27,0.3,6.58,4.43
0.13,8.49,3.45,5.55,9.57
0.0,3.63,4.55,3.27,0.72
0.0,7.57,0.04,2.05,0.15
4.46,0.1,0.14,6.34,2.63
0.02,6.78,9.12,1.97,8.44
0.0,9.08,6.23,3.77,0.45
0.03,4.39,2.04,5.73,3.16
0.02,7.11,2.37,1.21,2.77
4.71,0.71,0.37,4.29,4.75
1.61,2.11,0.41,9.62,9.45
2.03,8.39,0.35,6.15,2.19
0.2,10.35,3.45,1.8,4.28
0.0,3.75,6.79,3.04,0.79
0.11,6.03,2.68,2.84,9.47
4.43,0.65,4.72,1.35,8.12
1.85,5.39,0.52,2.33,4.7
0.17,4.64,9.73,3.41,6.3
2.21,8.21,0.57,6.91,3.79
2.42,4.15,0.35,2.67,3.44
